  TIME                                    , SERIAL                                   , DATETIME 
50.75,45660.11,2025-01-03 2:45
51.00,45660.13,2025-01-03 3:00
51.25,45660.14,2025-01-03 3:15
51.50,45660.15,2025-01-03 3:30
51.75,45660.16,2025-01-03 3:45
52.00,45660.17,2025-01-03 4:00
52.25,45660.18,2025-01-03 4:15
52.50,45660.19,2025-01-03 4:30
52.75,45660.20,2025-01-03 4:45
53.00,45660.21,2025-01-03 5:00
53.25,45660.22,2025-01-03 5:15
53.50,45660.23,2025-01-03 5:30
53.75,45660.24,2025-01-03 5:45
54.00,45660.25,2025-01-03 6:00
54.25,45660.26,2025-01-03 6:15
54.50,45660.27,2025-01-03 6:30
54.75,45660.28,2025-01-03 6:45
55.00,45660.29,2025-01-03 7:00
55.25,45660.30,2025-01-03 7:15
55.50,45660.31,2025-01-03 7:30
55.75,45660.32,2025-01-03 7:45
56.00,45660.33,2025-01-03 8:00
56.25,45660.34,2025-01-03 8:15
56.50,45660.35,2025-01-03 8:30
56.75,45660.36,2025-01-03 8:45
57.00,45660.38,2025-01-03 9:00
57.25,45660.39,2025-01-03 9:15
57.50,45660.40,2025-01-03 9:30
57.75,45660.41,2025-01-03 9:45
58.00,45660.42,2025-01-03 10:00
58.25,45660.43,2025-01-03 10:15
58.50,45660.44,2025-01-03 10:30
58.75,45660.45,2025-01-03 10:45
59.00,45660.46,2025-01-03 11:00
59.25,45660.47,2025-01-03 11:15
59.50,45660.48,2025-01-03 11:30
59.75,45660.49,2025-01-03 11:45
60.00,45660.50,2025-01-03 12:00
60.25,45660.51,2025-01-03 12:15
60.50,45660.52,2025-01-03 12:30
60.75,45660.53,2025-01-03 12:45
61.00,45660.54,2025-01-03 13:00
61.25,45660.55,2025-01-03 13:15
61.50,45660.56,2025-01-03 13:30
61.75,45660.57,2025-01-03 13:45
62.00,45660.58,2025-01-03 14:00
62.25,45660.59,2025-01-03 14:15
62.50,45660.60,2025-01-03 14:30
62.75,45660.61,2025-01-03 14:45
63.00,45660.63,2025-01-03 15:00
63.25,45660.64,2025-01-03 15:15
63.50,45660.65,2025-01-03 15:30
63.75,45660.66,2025-01-03 15:45
64.00,45660.67,2025-01-03 16:00
64.25,45660.68,2025-01-03 16:15
64.50,45660.69,2025-01-03 16:30
64.75,45660.70,2025-01-03 16:45
65.00,45660.71,2025-01-03 17:00
65.25,45660.72,2025-01-03 17:15
65.50,45660.73,2025-01-03 17:30
65.75,45660.74,2025-01-03 17:45
66.00,45660.75,2025-01-03 18:00
66.25,45660.76,2025-01-03 18:15
66.50,45660.77,2025-01-03 18:30
66.75,45660.78,2025-01-03 18:45
67.00,45660.79,2025-01-03 19:00
67.25,45660.80,2025-01-03 19:15
67.50,45660.81,2025-01-03 19:30
67.75,45660.82,2025-01-03 19:45
68.00,45660.83,2025-01-03 20:00
68.25,45660.84,2025-01-03 20:15
68.50,45660.85,2025-01-03 20:30
68.75,45660.86,2025-01-03 20:45
69.00,45660.88,2025-01-03 21:00
69.25,45660.89,2025-01-03 21:15
69.50,45660.90,2025-01-03 21:30
69.75,45660.91,2025-01-03 21:45
70.00,45660.92,2025-01-03 22:00
70.25,45660.93,2025-01-03 22:15
70.50,45660.94,2025-01-03 22:30
70.75,45660.95,2025-01-03 22:45
71.00,45660.96,2025-01-03 23:00
71.25,45660.97,2025-01-03 23:15
71.50,45660.98,2025-01-03 23:30
71.75,45660.99,2025-01-03 23:45
72.00,45661.00,2025-01-04 0:00
72.25,45661.01,2025-01-04 0:15
72.50,45661.02,2025-01-04 0:30
72.75,45661.03,2025-01-04 0:45
73.00,45661.04,2025-01-04 1:00
73.25,45661.05,2025-01-04 1:15
73.50,45661.06,2025-01-04 1:30
73.75,45661.07,2025-01-04 1:45
74.00,45661.08,2025-01-04 2:00
74.25,45661.09,2025-01-04 2:15
74.50,45661.10,2025-01-04 2:30
74.75,45661.11,2025-01-04 2:45
75.00,45661.13,2025-01-04 3:00
75.25,45661.14,2025-01-04 3:15
75.50,45661.15,2025-01-04 3:30
75.75,45661.16,2025-01-04 3:45
76.00,45661.17,2025-01-04 4:00
76.25,45661.18,2025-01-04 4:15
76.50,45661.19,2025-01-04 4:30
76.75,45661.20,2025-01-04 4:45
77.00,45661.21,2025-01-04 5:00
77.25,45661.22,2025-01-04 5:15
77.50,45661.23,2025-01-04 5:30
77.75,45661.24,2025-01-04 5:45
78.00,45661.25,2025-01-04 6:00
78.25,45661.26,2025-01-04 6:15
78.50,45661.27,2025-01-04 6:30
78.75,45661.28,2025-01-04 6:45
79.00,45661.29,2025-01-04 7:00
79.25,45661.30,2025-01-04 7:15
79.50,45661.31,2025-01-04 7:30
79.75,45661.32,2025-01-04 7:45
80.00,45661.33,2025-01-04 8:00
80.25,45661.34,2025-01-04 8:15
80.50,45661.35,2025-01-04 8:30
80.75,45661.36,2025-01-04 8:45
81.00,45661.38,2025-01-04 9:00
81.25,45661.39,2025-01-04 9:15
81.50,45661.40,2025-01-04 9:30
81.75,45661.41,2025-01-04 9:45
82.00,45661.42,2025-01-04 10:00
82.25,45661.43,2025-01-04 10:15
82.50,45661.44,2025-01-04 10:30
82.75,45661.45,2025-01-04 10:45
83.00,45661.46,2025-01-04 11:00
83.25,45661.47,2025-01-04 11:15
83.50,45661.48,2025-01-04 11:30
83.75,45661.49,2025-01-04 11:45
84.00,45661.50,2025-01-04 12:00
84.25,45661.51,2025-01-04 12:15
84.50,45661.52,2025-01-04 12:30
84.75,45661.53,2025-01-04 12:45
85.00,45661.54,2025-01-04 13:00
85.25,45661.55,2025-01-04 13:15
85.50,45661.56,2025-01-04 13:30
85.75,45661.57,2025-01-04 13:45
86.00,45661.58,2025-01-04 14:00
86.25,45661.59,2025-01-04 14:15
86.50,45661.60,2025-01-04 14:30
86.75,45661.61,2025-01-04 14:45
87.00,45661.63,2025-01-04 15:00
87.25,45661.64,2025-01-04 15:15
87.50,45661.65,2025-01-04 15:30
87.75,45661.66,2025-01-04 15:45
88.00,45661.67,2025-01-04 16:00
88.25,45661.68,2025-01-04 16:15
88.50,45661.69,2025-01-04 16:30
88.75,45661.70,2025-01-04 16:45
89.00,45661.71,2025-01-04 17:00
89.25,45661.72,2025-01-04 17:15
89.50,45661.73,2025-01-04 17:30
89.75,45661.74,2025-01-04 17:45
90.00,45661.75,2025-01-04 18:00
90.25,45661.76,2025-01-04 18:15
90.50,45661.77,2025-01-04 18:30
90.75,45661.78,2025-01-04 18:45
91.00,45661.79,2025-01-04 19:00
91.25,45661.80,2025-01-04 19:15
91.50,45661.81,2025-01-04 19:30
91.75,45661.82,2025-01-04 19:45
92.00,45661.83,2025-01-04 20:00
92.25,45661.84,2025-01-04 20:15
92.50,45661.85,2025-01-04 20:30
92.75,45661.86,2025-01-04 20:45
93.00,45661.88,2025-01-04 21:00
93.25,45661.89,2025-01-04 21:15
93.50,45661.90,2025-01-04 21:30
93.75,45661.91,2025-01-04 21:45
94.00,45661.92,2025-01-04 22:00
94.25,45661.93,2025-01-04 22:15
94.50,45661.94,2025-01-04 22:30
94.75,45661.95,2025-01-04 22:45
95.00,45661.96,2025-01-04 23:00
95.25,45661.97,2025-01-04 23:15
95.50,45661.98,2025-01-04 23:30
95.75,45661.99,2025-01-04 23:45
96.00,45662.00,2025-01-05 0:00
96.25,45662.01,2025-01-05 0:15
96.50,45662.02,2025-01-05 0:30
96.75,45662.03,2025-01-05 0:45
97.00,45662.04,2025-01-05 1:00
97.25,45662.05,2025-01-05 1:15
97.50,45662.06,2025-01-05 1:30
97.75,45662.07,2025-01-05 1:45
98.00,45662.08,2025-01-05 2:00
98.25,45662.09,2025-01-05 2:15
98.50,45662.10,2025-01-05 2:30
98.75,45662.11,2025-01-05 2:45
99.00,45662.13,2025-01-05 3:00
99.25,45662.14,2025-01-05 3:15
99.50,45662.15,2025-01-05 3:30
99.75,45662.16,2025-01-05 3:45
100.00,45662.17,2025-01-05 4:00
100.25,45662.18,2025-01-05 4:15
100.50,45662.19,2025-01-05 4:30
100.75,45662.20,2025-01-05 4:45
101.00,45662.21,2025-01-05 5:00
101.25,45662.22,2025-01-05 5:15
101.50,45662.23,2025-01-05 5:30
101.75,45662.24,2025-01-05 5:45
102.00,45662.25,2025-01-05 6:00
102.25,45662.26,2025-01-05 6:15
102.50,45662.27,2025-01-05 6:30
102.75,45662.28,2025-01-05 6:45
103.00,45662.29,2025-01-05 7:00
103.25,45662.30,2025-01-05 7:15
103.50,45662.31,2025-01-05 7:30
103.75,45662.32,2025-01-05 7:45
104.00,45662.33,2025-01-05 8:00
104.25,45662.34,2025-01-05 8:15
104.50,45662.35,2025-01-05 8:30
104.75,45662.36,2025-01-05 8:45
105.00,45662.38,2025-01-05 9:00
105.25,45662.39,2025-01-05 9:15
105.50,45662.40,2025-01-05 9:30
105.75,45662.41,2025-01-05 9:45
106.00,45662.42,2025-01-05 10:00
106.25,45662.43,2025-01-05 10:15
106.50,45662.44,2025-01-05 10:30
106.75,45662.45,2025-01-05 10:45
107.00,45662.46,2025-01-05 11:00
107.25,45662.47,2025-01-05 11:15
107.50,45662.48,2025-01-05 11:30
107.75,45662.49,2025-01-05 11:45
108.00,45662.50,2025-01-05 12:00
108.25,45662.51,2025-01-05 12:15
108.50,45662.52,2025-01-05 12:30
108.75,45662.53,2025-01-05 12:45
109.00,45662.54,2025-01-05 13:00
109.25,45662.55,2025-01-05 13:15
109.50,45662.56,2025-01-05 13:30
109.75,45662.57,2025-01-05 13:45
110.00,45662.58,2025-01-05 14:00
110.25,45662.59,2025-01-05 14:15
110.50,45662.60,2025-01-05 14:30
110.75,45662.61,2025-01-05 14:45
111.00,45662.63,2025-01-05 15:00
111.25,45662.64,2025-01-05 15:15
111.50,45662.65,2025-01-05 15:30
111.75,45662.66,2025-01-05 15:45
112.00,45662.67,2025-01-05 16:00
112.25,45662.68,2025-01-05 16:15
112.50,45662.69,2025-01-05 16:30
112.75,45662.70,2025-01-05 16:45
113.00,45662.71,2025-01-05 17:00
113.25,45662.72,2025-01-05 17:15
113.50,45662.73,2025-01-05 17:30
113.75,45662.74,2025-01-05 17:45
114.00,45662.75,2025-01-05 18:00
114.25,45662.76,2025-01-05 18:15
114.50,45662.77,2025-01-05 18:30
114.75,45662.78,2025-01-05 18:45
115.00,45662.79,2025-01-05 19:00
115.25,45662.80,2025-01-05 19:15
115.50,45662.81,2025-01-05 19:30
115.75,45662.82,2025-01-05 19:45
116.00,45662.83,2025-01-05 20:00
116.25,45662.84,2025-01-05 20:15
116.50,45662.85,2025-01-05 20:30
116.75,45662.86,2025-01-05 20:45
117.00,45662.88,2025-01-05 21:00
117.25,45662.89,2025-01-05 21:15
117.50,45662.90,2025-01-05 21:30
117.75,45662.91,2025-01-05 21:45
118.00,45662.92,2025-01-05 22:00
118.25,45662.93,2025-01-05 22:15
118.50,45662.94,2025-01-05 22:30
118.75,45662.95,2025-01-05 22:45
119.00,45662.96,2025-01-05 23:00
119.25,45662.97,2025-01-05 23:15
119.50,45662.98,2025-01-05 23:30
119.75,45662.99,2025-01-05 23:45
120.00,45663.00,2025-01-06 0:00
120.25,45663.01,2025-01-06 0:15
120.50,45663.02,2025-01-06 0:30
120.75,45663.03,2025-01-06 0:45
121.00,45663.04,2025-01-06 1:00
121.25,45663.05,2025-01-06 1:15
121.50,45663.06,2025-01-06 1:30
121.75,45663.07,2025-01-06 1:45
122.00,45663.08,2025-01-06 2:00
122.25,45663.09,2025-01-06 2:15
122.50,45663.10,2025-01-06 2:30
122.75,45663.11,2025-01-06 2:45
123.00,45663.13,2025-01-06 3:00
123.25,45663.14,2025-01-06 3:15
123.50,45663.15,2025-01-06 3:30
123.75,45663.16,2025-01-06 3:45
124.00,45663.17,2025-01-06 4:00
124.25,45663.18,2025-01-06 4:15
124.50,45663.19,2025-01-06 4:30
124.75,45663.20,2025-01-06 4:45
125.00,45663.21,2025-01-06 5:00
125.25,45663.22,2025-01-06 5:15
125.50,45663.23,2025-01-06 5:30
125.75,45663.24,2025-01-06 5:45
126.00,45663.25,2025-01-06 6:00
126.25,45663.26,2025-01-06 6:15
126.50,45663.27,2025-01-06 6:30
126.75,45663.28,2025-01-06 6:45
127.00,45663.29,2025-01-06 7:00
127.25,45663.30,2025-01-06 7:15
127.50,45663.31,2025-01-06 7:30
127.75,45663.32,2025-01-06 7:45
128.00,45663.33,2025-01-06 8:00
128.25,45663.34,2025-01-06 8:15
128.50,45663.35,2025-01-06 8:30
128.75,45663.36,2025-01-06 8:45
129.00,45663.38,2025-01-06 9:00
129.25,45663.39,2025-01-06 9:15
129.50,45663.40,2025-01-06 9:30
129.75,45663.41,2025-01-06 9:45
130.00,45663.42,2025-01-06 10:00
130.25,45663.43,2025-01-06 10:15
130.50,45663.44,2025-01-06 10:30
130.75,45663.45,2025-01-06 10:45
131.00,45663.46,2025-01-06 11:00
131.25,45663.47,2025-01-06 11:15
131.50,45663.48,2025-01-06 11:30
131.75,45663.49,2025-01-06 11:45
132.00,45663.50,2025-01-06 12:00
132.25,45663.51,2025-01-06 12:15
132.50,45663.52,2025-01-06 12:30
132.75,45663.53,2025-01-06 12:45
133.00,45663.54,2025-01-06 13:00
133.25,45663.55,2025-01-06 13:15
133.50,45663.56,2025-01-06 13:30
133.75,45663.57,2025-01-06 13:45
134.00,45663.58,2025-01-06 14:00
134.25,45663.59,2025-01-06 14:15
134.50,45663.60,2025-01-06 14:30
134.75,45663.61,2025-01-06 14:45
135.00,45663.63,2025-01-06 15:00
135.25,45663.64,2025-01-06 15:15
135.50,45663.65,2025-01-06 15:30
135.75,45663.66,2025-01-06 15:45
136.00,45663.67,2025-01-06 16:00
136.25,45663.68,2025-01-06 16:15
136.50,45663.69,2025-01-06 16:30
136.75,45663.70,2025-01-06 16:45
137.00,45663.71,2025-01-06 17:00
137.25,45663.72,2025-01-06 17:15
137.50,45663.73,2025-01-06 17:30
137.75,45663.74,2025-01-06 17:45
138.00,45663.75,2025-01-06 18:00
138.25,45663.76,2025-01-06 18:15
138.50,45663.77,2025-01-06 18:30
138.75,45663.78,2025-01-06 18:45
139.00,45663.79,2025-01-06 19:00
139.25,45663.80,2025-01-06 19:15
139.50,45663.81,2025-01-06 19:30
139.75,45663.82,2025-01-06 19:45
140.00,45663.83,2025-01-06 20:00
140.25,45663.84,2025-01-06 20:15
140.50,45663.85,2025-01-06 20:30
140.75,45663.86,2025-01-06 20:45
141.00,45663.88,2025-01-06 21:00
141.25,45663.89,2025-01-06 21:15
141.50,45663.90,2025-01-06 21:30
141.75,45663.91,2025-01-06 21:45
142.00,45663.92,2025-01-06 22:00
142.25,45663.93,2025-01-06 22:15
142.50,45663.94,2025-01-06 22:30
142.75,45663.95,2025-01-06 22:45
143.00,45663.96,2025-01-06 23:00
143.25,45663.97,2025-01-06 23:15
143.50,45663.98,2025-01-06 23:30
143.75,45663.99,2025-01-06 23:45
144.00,45664.00,2025-01-07 0:00
144.25,45664.01,2025-01-07 0:15
144.50,45664.02,2025-01-07 0:30
144.75,45664.03,2025-01-07 0:45
145.00,45664.04,2025-01-07 1:00
145.25,45664.05,2025-01-07 1:15
145.50,45664.06,2025-01-07 1:30
145.75,45664.07,2025-01-07 1:45
146.00,45664.08,2025-01-07 2:00
146.25,45664.09,2025-01-07 2:15
146.50,45664.10,2025-01-07 2:30
146.75,45664.11,2025-01-07 2:45
147.00,45664.13,2025-01-07 3:00
147.25,45664.14,2025-01-07 3:15
147.50,45664.15,2025-01-07 3:30
147.75,45664.16,2025-01-07 3:45
148.00,45664.17,2025-01-07 4:00
148.25,45664.18,2025-01-07 4:15
148.50,45664.19,2025-01-07 4:30
148.75,45664.20,2025-01-07 4:45
149.00,45664.21,2025-01-07 5:00
149.25,45664.22,2025-01-07 5:15
149.50,45664.23,2025-01-07 5:30
149.75,45664.24,2025-01-07 5:45
150.00,45664.25,2025-01-07 6:00
150.25,45664.26,2025-01-07 6:15
150.50,45664.27,2025-01-07 6:30
150.75,45664.28,2025-01-07 6:45
151.00,45664.29,2025-01-07 7:00
151.25,45664.30,2025-01-07 7:15
151.50,45664.31,2025-01-07 7:30
151.75,45664.32,2025-01-07 7:45
152.00,45664.33,2025-01-07 8:00
152.25,45664.34,2025-01-07 8:15
152.50,45664.35,2025-01-07 8:30
152.75,45664.36,2025-01-07 8:45
153.00,45664.38,2025-01-07 9:00
153.25,45664.39,2025-01-07 9:15
153.50,45664.40,2025-01-07 9:30
153.75,45664.41,2025-01-07 9:45
154.00,45664.42,2025-01-07 10:00
154.25,45664.43,2025-01-07 10:15
154.50,45664.44,2025-01-07 10:30
154.75,45664.45,2025-01-07 10:45
155.00,45664.46,2025-01-07 11:00
155.25,45664.47,2025-01-07 11:15
155.50,45664.48,2025-01-07 11:30
155.75,45664.49,2025-01-07 11:45
156.00,45664.50,2025-01-07 12:00
156.25,45664.51,2025-01-07 12:15
156.50,45664.52,2025-01-07 12:30
156.75,45664.53,2025-01-07 12:45
157.00,45664.54,2025-01-07 13:00
157.25,45664.55,2025-01-07 13:15
157.50,45664.56,2025-01-07 13:30
157.75,45664.57,2025-01-07 13:45
158.00,45664.58,2025-01-07 14:00
158.25,45664.59,2025-01-07 14:15
158.50,45664.60,2025-01-07 14:30
158.75,45664.61,2025-01-07 14:45
159.00,45664.63,2025-01-07 15:00
159.25,45664.64,2025-01-07 15:15
159.50,45664.65,2025-01-07 15:30
159.75,45664.66,2025-01-07 15:45
160.00,45664.67,2025-01-07 16:00
160.25,45664.68,2025-01-07 16:15
160.50,45664.69,2025-01-07 16:30
160.75,45664.70,2025-01-07 16:45
161.00,45664.71,2025-01-07 17:00
161.25,45664.72,2025-01-07 17:15
161.50,45664.73,2025-01-07 17:30
161.75,45664.74,2025-01-07 17:45
162.00,45664.75,2025-01-07 18:00
162.25,45664.76,2025-01-07 18:15
162.50,45664.77,2025-01-07 18:30
162.75,45664.78,2025-01-07 18:45
163.00,45664.79,2025-01-07 19:00
163.25,45664.80,2025-01-07 19:15
163.50,45664.81,2025-01-07 19:30
163.75,45664.82,2025-01-07 19:45
164.00,45664.83,2025-01-07 20:00
164.25,45664.84,2025-01-07 20:15
164.50,45664.85,2025-01-07 20:30
164.75,45664.86,2025-01-07 20:45
165.00,45664.88,2025-01-07 21:00
165.25,45664.89,2025-01-07 21:15
165.50,45664.90,2025-01-07 21:30
165.75,45664.91,2025-01-07 21:45
166.00,45664.92,2025-01-07 22:00
166.25,45664.93,2025-01-07 22:15
166.50,45664.94,2025-01-07 22:30
166.75,45664.95,2025-01-07 22:45
167.00,45664.96,2025-01-07 23:00
167.25,45664.97,2025-01-07 23:15
167.50,45664.98,2025-01-07 23:30
167.75,45664.99,2025-01-07 23:45
168.00,45665.00,2025-01-08 0:00
168.25,45665.01,2025-01-08 0:15
168.50,45665.02,2025-01-08 0:30
168.75,45665.03,2025-01-08 0:45
169.00,45665.04,2025-01-08 1:00
169.25,45665.05,2025-01-08 1:15
169.50,45665.06,2025-01-08 1:30
169.75,45665.07,2025-01-08 1:45
170.00,45665.08,2025-01-08 2:00
170.25,45665.09,2025-01-08 2:15
170.50,45665.10,2025-01-08 2:30
170.75,45665.11,2025-01-08 2:45
171.00,45665.13,2025-01-08 3:00
171.25,45665.14,2025-01-08 3:15
171.50,45665.15,2025-01-08 3:30
171.75,45665.16,2025-01-08 3:45
172.00,45665.17,2025-01-08 4:00
172.25,45665.18,2025-01-08 4:15
172.50,45665.19,2025-01-08 4:30
172.75,45665.20,2025-01-08 4:45
173.00,45665.21,2025-01-08 5:00
173.25,45665.22,2025-01-08 5:15
173.50,45665.23,2025-01-08 5:30
173.75,45665.24,2025-01-08 5:45
174.00,45665.25,2025-01-08 6:00
